File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,
,2.7,3.1,,9,100,7913,7940,8488,0.27,5.48,4.5,91.33333333,temp,
,2.7,3.1,,10,100,8488,8832,8963,3.44,1.31,57.33333333,21.83333333,temp,
,2.7,3.1,,11,100,8963,9690,10928,7.27,,121.1666667,0,permanent,
,2.7,3.1,,12,100,10928,11135,12062,2.07,,34.5,0,permanent,
,2.7,3.1,,13,100,12062,12122,13098,0.6,,10,0,permanent,
,2.7,3.1,,14,100,13098,13583,13843,4.85,2.6,80.83333333,43.33333333,temp,
,2.7,3.1,,15,100,13843,14424,14602,5.81,1.78,96.83333333,29.66666667,temp,
,2.7,3.1,,16,100,14602,14832,15293,2.3,4.61,38.33333333,76.83333333,"temp The full arch turned into a partial arch for about 10 frames, then broke",
,2.7,3.1,,17,100,15293,15896,,6.03,,100.5,0,video ended,
"w2,7_h3,1_ts500_phic_1ml,min_100fps_11",,,,,,,,,,,,,,
,2.7,3.1,,1,100,270,288,1052,0.18,7.64,3,127.3333333,temp,
,2.7,3.1,,2,100,1052,1078,1613,0.26,,4.333333333,0,permanent,
,2.7,3.1,,3,100,1613,1665,1725,0.52,0.6,8.666666667,10,temp,
,2.7,3.1,,4,100,1725,2125,3089,4,,66.66666667,0,permanent,
,2.7,3.1,,5,100,3089,3106,3412,0.17,3.06,2.833333333,51,temp,
,2.7,3.1,,6,100,3412,3518,3604,1.06,0.86,17.66666667,14.33333333,temp,
,2.7,3.1,,7,100,3604,4324,5238,7.2,,120,0,permanent,
,2.7,3.1,,8,100,5238,5305,6086,0.67,,11.16666667,0,permanent,
,2.7,3.1,,9,100,6086,6097,6959,0.11,,1.833333333,0,permanent,
,2.7,3.1,,10,100,6959,7034,7774,0.75,,12.5,0,permanent,
,2.7,3.1,,11,100,7774,7800,8723,0.26,,4.333333333,0,permanent,
,2.7,3.1,,12,100,8723,8731,9542,0.08,,1.333333333,0,permanent,
,2.7,3.1,,13,100,9542,9555,9644,0.13,0.89,2.166666667,14.83333333,temp,
,2.7,3.1,,14,100,9644,9729,10607,0.85,,14.16666667,0,permanent,
,2.7,3.1,,15,100,10607,11143,12067,5.36,,89.33333333,0,permanent,
,2.7,3.1,,16,100,12067,12192,12614,1.25,4.22,20.83333333,70.33333333,temp,
,2.7,3.1,,17,100,12614,12630,12699,0.16,0.69,2.666666667,11.5,partial arch,
,2.7,3.1,,18,100,12699,13574,14729,8.75,,145.8333333,0,permanent,
,2.7,3.1,,19,100,14729,14752,15142,0.23,3.9,3.833333333,65,temp,
,2.7,3.1,,20,100,15142,,,,,-2523.666667,0,video ended,
"w2,7_h3,1_ts500_phic_1ml,min_100fps_12",,,,,,,,,,,,,,
,2.7,3.1,,1,100,214,221,1070,0.07,,1.166666667,0,permanent,
,2.7,3.1,,2,100,1070,1077,1716,0.07,,1.166666667,0,permanent,
,2.7,3.1,,3,100,1716,1730,2513,0.14,,2.333333333,0,permanent. These three permanent arch took place extemely close in time. I guess this is due to the high flow velocity used to break the permanent arch manually. ,
,2.7,3.1,,4,100,2513,2894,4295,3.81,,63.5,0,permanent,
,2.7,3.1,,5,100,4295,4656,5679,3.61,,60.16666667,0,permanent,
